% Date and time of this run: 10-Feb-2005 00:18:25
% %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%error bar	freq (Hz)	sens integrand
3.533831e-04	8.200000e+01	2.554498e+05
3.533831e-04	8.225000e+01	2.653846e+05
3.533831e-04	8.250000e+01	2.693033e+05
3.533831e-04	8.275000e+01	2.655405e+05
3.533831e-04	8.300000e+01	2.673730e+05
3.533831e-04	8.325000e+01	2.877286e+05
3.533831e-04	8.350000e+01	2.986424e+05
3.533831e-04	8.375000e+01	3.013792e+05
3.533831e-04	8.400000e+01	3.155572e+05
3.533831e-04	8.425000e+01	3.257111e+05
3.533831e-04	8.450000e+01	3.341402e+05
3.533831e-04	8.475000e+01	3.285540e+05
3.533831e-04	8.500000e+01	2.577540e+05
3.533831e-04	8.525000e+01	2.180978e+05
3.533831e-04	8.550000e+01	2.882862e+05
3.533831e-04	8.575000e+01	3.232196e+05
3.533831e-04	8.600000e+01	3.532565e+05
3.533831e-04	8.625000e+01	3.588635e+05
3.533831e-04	8.650000e+01	3.600814e+05
3.533831e-04	8.675000e+01	3.628257e+05
3.533831e-04	8.700000e+01	3.631423e+05
3.533831e-04	8.725000e+01	3.345348e+05
3.533831e-04	8.750000e+01	3.208815e+05
3.533831e-04	8.775000e+01	3.428073e+05
3.533831e-04	8.800000e+01	3.250371e+05
3.533831e-04	8.825000e+01	3.431073e+05
3.533831e-04	8.850000e+01	3.540887e+05
3.533831e-04	8.875000e+01	3.599157e+05
3.533831e-04	8.900000e+01	3.419405e+05
3.533831e-04	8.925000e+01	2.630121e+05
3.533831e-04	8.950000e+01	2.136171e+05
3.533831e-04	8.975000e+01	2.961083e+05
3.533831e-04	9.000000e+01	3.409347e+05
3.533831e-04	9.025000e+01	3.616459e+05
3.533831e-04	9.050000e+01	3.699695e+05
3.533831e-04	9.075000e+01	3.704391e+05
3.533831e-04	9.100000e+01	3.680448e+05
3.533831e-04	9.125000e+01	3.555277e+05
3.533831e-04	9.150000e+01	3.471624e+05
3.533831e-04	9.175000e+01	3.561885e+05
3.533831e-04	9.200000e+01	2.969698e+05
3.533831e-04	9.225000e+01	2.847582e+05
3.533831e-04	9.250000e+01	3.564734e+05
3.533831e-04	9.275000e+01	3.577689e+05
3.533831e-04	9.300000e+01	3.535076e+05
3.533831e-04	9.325000e+01	3.474980e+05
3.533831e-04	9.350000e+01	3.237776e+05
3.533831e-04	9.375000e+01	2.985280e+05
3.533831e-04	9.400000e+01	3.194868e+05
3.533831e-04	9.425000e+01	3.263917e+05
3.533831e-04	9.450000e+01	3.226276e+05
3.533831e-04	9.475000e+01	3.203227e+05
3.533831e-04	9.500000e+01	2.995901e+05
3.533831e-04	9.525000e+01	1.210269e+05
3.533831e-04	9.550000e+01	8.701400e+04
3.533831e-04	9.575000e+01	2.141439e+05
3.533831e-04	9.600000e+01	0.000000e+00
3.533831e-04	9.625000e+01	2.553630e+05
3.533831e-04	9.650000e+01	2.817326e+05
3.533831e-04	9.675000e+01	2.670410e+05
3.533831e-04	9.700000e+01	2.428700e+05
3.533831e-04	9.725000e+01	2.416345e+05
3.533831e-04	9.750000e+01	2.435606e+05
3.533831e-04	9.775000e+01	1.675889e+05
3.533831e-04	9.800000e+01	8.326044e+04
3.533831e-04	9.825000e+01	9.878624e+04
3.533831e-04	9.850000e+01	2.037087e+05
3.533831e-04	9.875000e+01	2.299576e+05
3.533831e-04	9.900000e+01	1.595654e+05
3.533831e-04	9.925000e+01	7.248225e+04
3.533831e-04	9.950000e+01	8.414247e+04
3.533831e-04	9.975000e+01	1.833863e+05
3.533831e-04	1.000000e+02	1.928300e+05
3.533831e-04	1.002500e+02	1.425027e+05
3.533831e-04	1.005000e+02	1.298211e+05
3.533831e-04	1.007500e+02	1.588598e+05
3.533831e-04	1.010000e+02	1.821131e+05
3.533831e-04	1.012500e+02	1.710953e+05
3.533831e-04	1.015000e+02	1.619515e+05
3.533831e-04	1.017500e+02	1.572114e+05
3.533831e-04	1.020000e+02	1.521820e+05
3.533831e-04	1.022500e+02	1.421569e+05
