% Date and time of this run: 09-Feb-2005 23:55:14
% %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%error bar	freq (Hz)	pt est int (re)	pt est int (im)
3.533831e-04	7.325000e+01	-1.016704e-05	4.760179e-05
3.533831e-04	7.350000e+01	-7.420056e-06	-3.545764e-05
3.533831e-04	7.375000e+01	-3.259442e-05	-4.669478e-05
3.533831e-04	7.400000e+01	3.475377e-05	-5.352604e-05
3.533831e-04	7.425000e+01	-2.122347e-05	-9.265177e-05
3.533831e-04	7.450000e+01	-1.450247e-05	7.307413e-05
3.533831e-04	7.475000e+01	5.695899e-05	-3.708649e-05
3.533831e-04	7.500000e+01	5.129999e-05	3.149866e-05
3.533831e-04	7.525000e+01	-6.145858e-05	-1.732137e-05
3.533831e-04	7.550000e+01	2.732978e-05	5.072470e-05
3.533831e-04	7.575000e+01	-3.514244e-05	5.881435e-05
3.533831e-04	7.600000e+01	2.416978e-05	6.318140e-05
3.533831e-04	7.625000e+01	2.998892e-05	-2.296953e-05
3.533831e-04	7.650000e+01	-3.003471e-05	2.429977e-05
3.533831e-04	7.675000e+01	-1.758319e-05	2.512292e-05
3.533831e-04	7.700000e+01	-3.901923e-05	3.563136e-07
3.533831e-04	7.725000e+01	-6.934101e-05	4.454953e-05
3.533831e-04	7.750000e+01	8.935330e-07	-7.673591e-05
3.533831e-04	7.775000e+01	-4.288390e-05	5.237848e-05
3.533831e-04	7.800000e+01	-1.927938e-05	-1.121403e-04
3.533831e-04	7.825000e+01	3.210454e-05	-1.746375e-05
3.533831e-04	7.850000e+01	7.323954e-06	-5.937276e-05
3.533831e-04	7.875000e+01	-5.975348e-05	-6.244676e-05
3.533831e-04	7.900000e+01	-2.028976e-05	-5.806121e-05
3.533831e-04	7.925000e+01	-6.425150e-05	-6.952382e-05
3.533831e-04	7.950000e+01	-1.284153e-05	-4.297667e-06
3.533831e-04	7.975000e+01	4.748914e-05	-3.214634e-05
3.533831e-04	8.000000e+01	0.000000e+00	0.000000e+00
3.533831e-04	8.025000e+01	2.807449e-05	-1.814886e-05
3.533831e-04	8.050000e+01	-8.749082e-06	-3.000404e-05
3.533831e-04	8.075000e+01	2.595434e-06	4.749351e-05
3.533831e-04	8.100000e+01	2.634350e-07	1.721136e-05
3.533831e-04	8.125000e+01	2.383546e-05	2.317298e-05
3.533831e-04	8.150000e+01	-9.491995e-05	2.048147e-05
3.533831e-04	8.175000e+01	1.061702e-05	4.419913e-05
3.533831e-04	8.200000e+01	-7.950841e-05	5.120503e-05
3.533831e-04	8.225000e+01	-1.160795e-04	1.067408e-04
3.533831e-04	8.250000e+01	-6.257199e-05	-6.235118e-05
3.533831e-04	8.275000e+01	8.904851e-05	3.266572e-05
3.533831e-04	8.300000e+01	-8.340044e-05	-3.562885e-05
3.533831e-04	8.325000e+01	-6.638194e-05	2.426576e-05
3.533831e-04	8.350000e+01	1.079349e-05	-7.249096e-05
3.533831e-04	8.375000e+01	-6.843323e-05	-1.211992e-04
3.533831e-04	8.400000e+01	-7.441013e-05	1.287203e-04
3.533831e-04	8.425000e+01	7.098863e-05	1.213095e-06
3.533831e-04	8.450000e+01	-7.628231e-06	2.237192e-05
3.533831e-04	8.475000e+01	-3.109537e-05	-1.145989e-06
3.533831e-04	8.500000e+01	9.819183e-05	-1.016377e-06
3.533831e-04	8.525000e+01	-6.206731e-05	2.741675e-05
3.533831e-04	8.550000e+01	-1.240186e-05	1.473562e-04
3.533831e-04	8.575000e+01	-2.229119e-05	2.821728e-05
3.533831e-04	8.600000e+01	2.695777e-05	-6.439577e-06
3.533831e-04	8.625000e+01	-9.729389e-05	1.074202e-04
3.533831e-04	8.650000e+01	1.855132e-05	5.918272e-05
3.533831e-04	8.675000e+01	-5.351724e-05	-1.897506e-05
3.533831e-04	8.700000e+01	-2.113139e-05	1.071107e-04
3.533831e-04	8.725000e+01	-1.164229e-04	2.640496e-05
3.533831e-04	8.750000e+01	5.896584e-05	8.205234e-05
3.533831e-04	8.775000e+01	-1.013712e-04	2.560581e-05
3.533831e-04	8.800000e+01	9.234106e-05	-9.201233e-05
3.533831e-04	8.825000e+01	1.326860e-05	1.213967e-05
3.533831e-04	8.850000e+01	-1.698158e-05	6.912532e-05
3.533831e-04	8.875000e+01	-2.602584e-05	1.607558e-04
3.533831e-04	8.900000e+01	5.693916e-05	-2.632692e-05
3.533831e-04	8.925000e+01	2.450150e-05	5.662139e-05
3.533831e-04	8.950000e+01	-5.642518e-05	8.379610e-05
3.533831e-04	8.975000e+01	4.714329e-05	4.015301e-05
3.533831e-04	9.000000e+01	1.328082e-04	3.028051e-05
3.533831e-04	9.025000e+01	-6.086752e-05	-3.633480e-05
3.533831e-04	9.050000e+01	5.073360e-05	-7.986427e-05
3.533831e-04	9.075000e+01	-1.587537e-04	3.697721e-07
3.533831e-04	9.100000e+01	-1.407181e-04	1.330967e-04
3.533831e-04	9.125000e+01	-7.694143e-05	-8.050787e-06
3.533831e-04	9.150000e+01	7.862641e-05	1.150438e-05
3.533831e-04	9.175000e+01	1.096169e-04	-2.593678e-05
3.533831e-04	9.200000e+01	7.233077e-05	-5.287664e-05
3.533831e-04	9.225000e+01	7.970603e-05	-1.162369e-05
3.533831e-04	9.250000e+01	8.015796e-05	9.242096e-05
3.533831e-04	9.275000e+01	1.230829e-04	-1.380421e-05
3.533831e-04	9.300000e+01	-4.313331e-05	7.224680e-05
3.533831e-04	9.325000e+01	5.656224e-05	-5.465897e-05
3.533831e-04	9.350000e+01	4.654067e-05	-7.999320e-05
3.533831e-04	9.375000e+01	-4.107695e-07	9.453552e-06
3.533831e-04	9.400000e+01	-8.399600e-05	1.457149e-04
3.533831e-04	9.425000e+01	3.937901e-05	-7.202457e-05
3.533831e-04	9.450000e+01	9.670446e-05	-1.825910e-04
3.533831e-04	9.475000e+01	2.174081e-04	-6.493116e-05
3.533831e-04	9.500000e+01	1.706978e-05	2.360733e-05
3.533831e-04	9.525000e+01	-4.151599e-05	7.165519e-05
3.533831e-04	9.550000e+01	1.642243e-05	-3.490001e-05
3.533831e-04	9.575000e+01	6.275412e-05	-2.799657e-05
3.533831e-04	9.600000e+01	0.000000e+00	0.000000e+00
3.533831e-04	9.625000e+01	1.646263e-05	1.904798e-06
3.533831e-04	9.650000e+01	-8.340303e-05	-6.326622e-05
3.533831e-04	9.675000e+01	8.936051e-05	6.007329e-05
3.533831e-04	9.700000e+01	-2.118115e-05	1.870077e-05
3.533831e-04	9.725000e+01	-4.014490e-05	-1.200905e-05
3.533831e-04	9.750000e+01	5.827880e-06	2.385659e-05
3.533831e-04	9.775000e+01	2.747053e-05	-1.040843e-04
3.533831e-04	9.800000e+01	-4.155328e-05	2.025806e-05
3.533831e-04	9.825000e+01	-5.837574e-05	-4.514826e-05
3.533831e-04	9.850000e+01	-9.458254e-05	1.784485e-05
3.533831e-04	9.875000e+01	5.185509e-05	-5.044942e-05
3.533831e-04	9.900000e+01	5.133950e-05	-1.072415e-04
3.533831e-04	9.925000e+01	-4.483352e-05	2.489634e-05
3.533831e-04	9.950000e+01	1.706140e-05	5.682506e-05
3.533831e-04	9.975000e+01	-9.515178e-06	6.737331e-05
3.533831e-04	1.000000e+02	-7.340775e-05	-3.949430e-05
3.533831e-04	1.002500e+02	2.557077e-05	-4.723388e-05
3.533831e-04	1.005000e+02	-2.661525e-05	-3.912841e-05
3.533831e-04	1.007500e+02	-6.205626e-06	-6.825620e-05
3.533831e-04	1.010000e+02	3.321572e-05	2.521700e-05
3.533831e-04	1.012500e+02	7.608043e-05	3.311896e-05
3.533831e-04	1.015000e+02	-4.864138e-05	-1.405474e-05
3.533831e-04	1.017500e+02	-4.245880e-05	3.609145e-05
3.533831e-04	1.020000e+02	2.232156e-06	3.926051e-05
3.533831e-04	1.022500e+02	5.671823e-05	1.114173e-04
3.533831e-04	1.025000e+02	7.225841e-05	-3.502504e-05
3.533831e-04	1.027500e+02	-1.915224e-05	3.984657e-05
3.533831e-04	1.030000e+02	-2.891734e-05	-2.331258e-05
3.533831e-04	1.032500e+02	5.757621e-05	5.884630e-06
3.533831e-04	1.035000e+02	-3.045481e-05	-1.883019e-05
3.533831e-04	1.037500e+02	-1.122422e-05	1.396453e-05
3.533831e-04	1.040000e+02	5.824262e-05	2.279393e-06
3.533831e-04	1.042500e+02	-1.939464e-05	2.910118e-05
3.533831e-04	1.045000e+02	5.265458e-05	-2.623291e-05
3.533831e-04	1.047500e+02	2.729417e-05	-3.538887e-05
3.533831e-04	1.050000e+02	-2.602293e-06	3.475613e-05
3.533831e-04	1.052500e+02	8.106332e-07	-2.716281e-05
3.533831e-04	1.055000e+02	2.241436e-05	-1.308110e-05
3.533831e-04	1.057500e+02	-3.183204e-07	-4.111974e-05
3.533831e-04	1.060000e+02	-3.526688e-06	5.759255e-06
3.533831e-04	1.062500e+02	-3.183502e-05	4.134030e-05
3.533831e-04	1.065000e+02	4.587736e-05	-1.431462e-05
3.533831e-04	1.067500e+02	-1.762374e-05	3.489331e-05
3.533831e-04	1.070000e+02	3.182612e-05	3.664401e-05
3.533831e-04	1.072500e+02	-4.491298e-05	-7.034503e-06
3.533831e-04	1.075000e+02	6.329310e-05	-1.698425e-05
3.533831e-04	1.077500e+02	-4.936450e-05	-2.688979e-05
3.533831e-04	1.080000e+02	-1.378997e-05	2.868577e-06
3.533831e-04	1.082500e+02	-6.062264e-05	5.777626e-06
3.533831e-04	1.085000e+02	1.608723e-06	-2.191664e-05
3.533831e-04	1.087500e+02	0.000000e+00	0.000000e+00
3.533831e-04	1.090000e+02	-3.517079e-05	4.965238e-05
3.533831e-04	1.092500e+02	1.392177e-06	-5.648109e-06
3.533831e-04	1.095000e+02	-1.064275e-05	-4.100164e-06
3.533831e-04	1.097500e+02	1.014158e-05	-3.677922e-06
3.533831e-04	1.100000e+02	1.865764e-05	1.405489e-05
3.533831e-04	1.102500e+02	3.706418e-07	2.232073e-05
3.533831e-04	1.105000e+02	-2.881765e-06	8.312920e-06
3.533831e-04	1.107500e+02	-1.228449e-05	2.294883e-05
3.533831e-04	1.110000e+02	-5.017088e-06	-1.330533e-05
3.533831e-04	1.112500e+02	1.126095e-05	-1.089467e-05
3.533831e-04	1.115000e+02	5.597816e-06	2.980592e-05
3.533831e-04	1.117500e+02	1.991116e-05	7.774657e-06
3.533831e-04	1.120000e+02	0.000000e+00	0.000000e+00
3.533831e-04	1.122500e+02	-4.398589e-06	1.948636e-05
3.533831e-04	1.125000e+02	6.935756e-06	-3.534272e-06
3.533831e-04	1.127500e+02	-6.294823e-06	-4.133945e-06
3.533831e-04	1.130000e+02	4.874124e-06	-7.816116e-06
3.533831e-04	1.132500e+02	-4.405619e-06	3.098102e-06
3.533831e-04	1.135000e+02	2.623636e-09	4.445084e-06
3.533831e-04	1.137500e+02	3.183816e-09	6.506093e-06
3.533831e-04	1.140000e+02	1.712850e-06	-3.583896e-06
3.533831e-04	1.142500e+02	4.123115e-06	-6.207135e-07
3.533831e-04	1.145000e+02	2.987944e-06	-2.464474e-06
3.533831e-04	1.147500e+02	-1.267936e-05	8.745921e-07
3.533831e-04	1.150000e+02	-6.344978e-06	-2.729185e-06
3.533831e-04	1.152500e+02	-1.734566e-06	4.988665e-06
3.533831e-04	1.155000e+02	1.064628e-06	-8.285410e-07
3.533831e-04	1.157500e+02	9.550916e-07	6.502696e-07
3.533831e-04	1.160000e+02	2.380986e-07	1.433319e-06
3.533831e-04	1.162500e+02	-5.391298e-07	2.880142e-07
3.533831e-04	1.165000e+02	-3.633939e-09	6.907764e-08
3.533831e-04	1.167500e+02	1.511092e-06	8.634701e-07
3.533831e-04	1.170000e+02	6.874983e-07	2.571988e-06
3.533831e-04	1.172500e+02	-1.244987e-07	1.870125e-06
3.533831e-04	1.175000e+02	1.741305e-06	-3.407419e-06
3.533831e-04	1.177500e+02	6.346198e-07	2.488727e-06
3.533831e-04	1.180000e+02	-1.191440e-07	-3.814164e-08
3.533831e-04	1.182500e+02	-5.772525e-08	2.515884e-06
3.533831e-04	1.185000e+02	-2.824093e-06	-2.924476e-07
3.533831e-04	1.187500e+02	1.337163e-06	7.437026e-07
3.533831e-04	1.190000e+02	-4.132964e-06	-2.107549e-07
3.533831e-04	1.192500e+02	-3.891712e-06	-6.003353e-06
3.533831e-04	1.195000e+02	4.872646e-07	-3.647797e-06
3.533831e-04	1.197500e+02	-6.042847e-08	4.102355e-08
3.533831e-04	1.200000e+02	0.000000e+00	0.000000e+00
3.533831e-04	1.202500e+02	6.712478e-08	-1.453041e-07
3.533831e-04	1.205000e+02	-1.074713e-05	4.165461e-06
3.533831e-04	1.207500e+02	1.793526e-06	-2.947906e-06
3.533831e-04	1.210000e+02	5.652467e-06	-3.063865e-06
3.533831e-04	1.212500e+02	8.488643e-06	5.314120e-06
3.533831e-04	1.215000e+02	-6.330836e-06	9.603808e-08
