1.000	3.15675954
1.100	0.831273449
1.210	0.21890028
1.330	0.058253031
1.460	0.015787069
1.610	0.004014942
1.770	0.001065653
1.950	0.000274636
2.140	7.47E-05
2.360	1.90E-05
2.590	5.16E-06
2.850	1.35E-06
3.140	3.49E-07
3.450	9.33E-08
3.800	2.41E-08
4.180	6.35E-09
4.590	1.71E-09
5.050	4.50E-10
5.560	1.17E-10
6.120	3.05E-11
6.730	8.07E-12
7.400	2.14E-12
8.140	5.63E-13
8.950	1.49E-13
9.850	3.90E-14
10.830	1.03E-14
11.920	2.70E-15
13.110	7.13E-16
14.420	1.88E-16
15.860	4.95E-17
17.450	1.30E-17
19.190	3.44E-18
21.110	9.04E-19
23.230	2.37E-19
25.550	6.25E-20
28.100	1.65E-20
30.910	4.42E-21
34.000	1.32E-21
37.400	6.23E-22
41.140	4.58E-22
45.260	3.75E-22
49.790	3.10E-22
54.760	2.58E-22
60.240	2.15E-22
66.260	1.80E-22
72.890	1.51E-22
80.180	1.28E-22
88.200	1.10E-22
97.020	9.57E-23
106.720	8.49E-23
117.390	7.72E-23
129.130	7.19E-23
142.040	6.88E-23
156.250	6.75E-23
171.870	6.76E-23
189.060	6.89E-23
207.970	7.13E-23
228.760	7.45E-23
251.640	7.86E-23
276.800	8.35E-23
304.480	8.92E-23
334.930	9.57E-23
368.420	1.03E-22
405.270	1.11E-22
445.790	1.21E-22
490.370	1.31E-22
539.410	1.43E-22
593.350	1.56E-22
652.680	1.70E-22
717.950	1.86E-22
789.750	2.03E-22
868.720	2.23E-22
955.590	2.44E-22
1051.150	2.68E-22
1156.270	2.94E-22
1271.900	3.23E-22
1399.080	3.54E-22
1538.990	3.89E-22
1692.890	4.28E-22
1862.180	4.70E-22
2048.400	5.16E-22
2253.240	5.68E-22
2478.560	6.24E-22
2726.420	6.86E-22
2999.060	7.54E-22
3298.970	8.30E-22
3628.870	9.12E-22
3991.750	1.00E-21
4390.930	1.10E-21
4830.020	1.21E-21
5313.020	1.33E-21
5844.320	1.47E-21
6428.760	1.61E-21
7071.630	1.78E-21
7778.800	1.95E-21
8556.680	2.15E-21
9412.340 2.36E-21
